,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),datetime,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,clouds_all,weather_description
0,0.0,0.0,0.0,None,2021-09-29 00:00:00,13.97,13.54,11.45,14.04,1027,81,1.96,,87,overcast clouds
1,0.0,0.0,0.0,None,2021-09-29 01:00:00,13.48,13.02,13.43,13.9,1028,82,1.83,,91,overcast clouds
2,0.0,0.0,0.0,None,2021-09-29 02:00:00,12.93,12.47,12.72,13.43,1027,84,1.96,,93,overcast clouds
3,0.0,0.0,0.0,None,2021-09-29 03:00:00,12.61,12.15,10.34,12.93,1027,85,1.85,,95,overcast clouds
4,0.0,0.0,0.0,None,2021-09-29 04:00:00,12.61,12.17,9.79,12.93,1027,86,1.83,,93,overcast clouds
5,0.0,0.0,0.0,None,2021-09-29 05:00:00,12.62,12.16,11.72,12.93,1028,85,2.04,,90,overcast clouds
6,0.0,0.0,0.0,None,2021-09-29 06:00:00,12.61,12.09,11.12,12.93,1028,83,1.98,,83,broken clouds
7,0.0,0.0,0.0,None,2021-09-29 07:00:00,13.27,12.69,10.34,13.48,1028,78,2.34,,87,overcast clouds
8,0.0,0.0,0.0,None,2021-09-29 08:00:00,16.14,15.77,11.77,16.26,1029,75,2.15,,65,broken clouds
9,0.0,0.0,0.0,None,2021-09-29 09:00:00,18.85,18.54,15.57,19.04,1029,67,1.76,,18,few clouds
10,0.0,0.0,0.0,None,2021-09-29 10:00:00,19.83,19.59,17.57,20.15,1029,66,2.09,,3,sky is clear
11,0.0,0.0,0.0,None,2021-09-29 11:00:00,20.71,20.53,20.57,21.77,1029,65,2.69,,12,few clouds
12,0.0,0.0,0.0,None,2021-09-29 12:00:00,21.76,21.66,20.72,22.23,1028,64,2.86,,25,scattered clouds
13,0.0,0.0,0.0,None,2021-09-29 13:00:00,22.82,22.75,19.72,24.54,1028,61,2.78,,26,scattered clouds
14,0.0,0.0,0.0,None,2021-09-29 14:00:00,23.34,23.32,20.72,23.48,1027,61,2.71,,31,scattered clouds
15,0.215,0.0,0.0,None,2021-09-29 15:00:00,23.83,23.81,20.72,24.04,1027,59,2.95,,44,scattered clouds
16,0.433,0.0,0.149,Low,2021-09-29 16:00:00,23.8,23.75,20.72,24.04,1026,58,3.36,,25,scattered clouds
17,0.292,0.0,0.315,Low,2021-09-29 17:00:00,22.99,22.94,19.72,23.48,1026,61,3.22,,21,few clouds
18,0.522,0.0,0.06,None,2021-09-29 18:00:00,21.51,21.41,19.55,21.82,1026,65,3.44,,10,sky is clear
19,0.581,0.0,0.0,None,2021-09-29 19:00:00,20.19,20.07,16.72,20.7,1027,69,3.21,,2,sky is clear
20,0.506,0.0,0.0,None,2021-09-29 20:00:00,19.09,18.93,15.72,19.59,1027,72,2.98,,10,sky is clear
21,0.534,0.0,0.0,None,2021-09-29 21:00:00,18.25,18.06,14.72,18.48,1027,74,2.8,,11,few clouds
22,0.726,0.0,0.0,None,2021-09-29 22:00:00,17.74,17.63,14.72,17.93,1027,79,2.47,,16,few clouds
23,0.662,0.0,0.0,None,2021-09-29 23:00:00,17.96,17.69,13.72,18.48,1027,72,2.4,,5,sky is clear
24,0.704,0.0,0.0,None,2021-09-30 00:00:00,13.97,13.69,12.72,15.66,1027,87,2.07,,39,scattered clouds
25,0.466,0.0,0.0,None,2021-09-30 01:00:00,17.34,16.98,12.72,17.93,1026,71,1.93,,88,overcast clouds
26,0.356,0.0,0.0,None,2021-09-30 02:00:00,13.73,13.46,12.57,15.1,1026,88,1.81,,98,overcast clouds
27,0.355,0.0,0.0,None,2021-09-30 03:00:00,12.92,12.62,11.72,14.54,1025,90,1.78,,73,broken clouds
28,0.346,0.0,0.0,None,2021-09-30 04:00:00,12.88,12.6,11.72,14.54,1025,91,1.77,,42,scattered clouds
29,0.351,0.0,0.0,None,2021-09-30 05:00:00,17.16,16.84,10.72,17.37,1025,73,1.83,,28,scattered clouds
30,0.454,0.0,0.0,None,2021-09-30 06:00:00,11.58,11.17,10.72,13.43,1025,91,1.81,,40,scattered clouds
31,0.372,0.0,0.002,None,2021-09-30 07:00:00,11.67,11.24,10.72,15.11,1026,90,1.71,,2,sky is clear
32,0.366,0.0,0.228,Medium,2021-09-30 08:00:00,19.4,19.07,14.54,19.59,1026,64,1.86,,0,sky is clear
33,0.0,0.0,0.268,High,2021-09-30 09:00:00,20.63,20.37,18.34,20.7,1026,62,1.03,,25,scattered clouds
34,0.0,0.0,0.268,High,2021-09-30 10:00:00,22.31,22.22,19.72,22.88,1026,62,0.73,,84,broken clouds
35,0.0,0.0,0.278,Very High,2021-09-30 11:00:00,22.94,22.91,22.79,23.99,1026,62,0.48,,30,scattered clouds
36,0.026,0.0,0.352,Very High,2021-09-30 12:00:00,24.49,24.4,20.72,24.59,1025,54,0.62,,65,broken clouds
37,0.003,0.0,0.378,High,2021-09-30 13:00:00,24.9,24.91,19.72,25.57,1024,56,1.21,,89,overcast clouds
38,0.0,0.0,0.45,High,2021-09-30 14:00:00,26.2,26.2,23.44,26.26,1024,51,2.17,,24,few clouds
39,0.0,0.0,0.42,High,2021-09-30 15:00:00,26.48,26.48,21.72,26.82,1023,49,3.05,,19,few clouds
40,0.054,0.0,0.35,High,2021-09-30 16:00:00,25.84,25.81,19.72,26.26,1023,51,3.27,,0,sky is clear
41,0.105,0.0,0.216,Low,2021-09-30 17:00:00,23.67,23.69,17.72,24.23,1023,61,2.81,,1,sky is clear
42,0.419,0.0,0.032,None,2021-09-30 18:00:00,22.02,22.03,16.72,23.12,1023,67,2.29,,55,broken clouds
43,0.341,0.0,0.0,None,2021-09-30 19:00:00,19.9,19.9,15.72,20.9,1023,75,1.65,,96,overcast clouds
44,0.585,0.0,0.0,None,2021-09-30 20:00:00,18.78,18.72,14.72,19.79,1023,77,1.08,,98,overcast clouds
45,0.523,0.0,0.0,None,2021-09-30 21:00:00,18.23,18.2,14.72,18.48,1024,80,1.56,,98,overcast clouds
46,0.562,0.0,0.0,None,2021-09-30 22:00:00,17.62,17.53,12.72,17.93,1023,80,1.32,,100,overcast clouds
47,0.599,0.0,0.0,None,2021-09-30 23:00:00,17.67,17.63,13.72,17.93,1023,82,2.06,,100,overcast clouds
48,0.611,0.0,0.0,None,2021-10-01 00:00:00,16.63,16.57,13.72,16.82,1023,85,1.23,,99,overcast clouds
49,0.557,0.0,0.0,None,2021-10-01 01:00:00,16.05,15.96,12.72,16.26,1023,86,1.87,,92,overcast clouds
50,0.446,0.0,0.0,None,2021-10-01 02:00:00,16.15,16.04,12.72,16.26,1022,85,1.49,,93,overcast clouds
51,0.336,0.0,0.0,None,2021-10-01 03:00:00,16.14,16.11,12.72,16.26,1022,88,1.5,,14,few clouds
52,0.306,0.0,0.0,None,2021-10-01 04:00:00,15.07,14.96,12.72,15.15,1022,89,1.1,,60,broken clouds
53,0.268,0.0,0.0,None,2021-10-01 05:00:00,15.6,15.57,12.72,15.7,1022,90,1.35,,86,overcast clouds
54,0.279,0.0,0.0,None,2021-10-01 06:00:00,15.44,15.36,11.72,15.7,1022,89,1.24,,92,overcast clouds
55,0.281,0.0,0.0,None,2021-10-01 07:00:00,14.97,14.9,12.72,15.15,1022,91,1.06,,98,overcast clouds
56,0.585,0.0,0.047,None,2021-10-01 08:00:00,15.63,15.62,13.72,15.7,1023,91,1.18,,99,overcast clouds
57,0.064,0.0,0.187,Low,2021-10-01 09:00:00,15.71,15.56,15.66,16.78,1023,85,1.24,,94,overcast clouds
58,0.005,0.0,0.248,High,2021-10-01 10:00:00,18.84,18.74,17.79,20.11,1023,75,2.09,,98,overcast clouds
59,0.0,0.0,0.258,Very High,2021-10-01 11:00:00,20.39,20.23,19.72,21.77,1023,67,2.19,,100,overcast clouds
60,0.0,0.0,0.262,Very High,2021-10-01 12:00:00,21.2,21.07,19.72,22.57,1023,65,2.66,,78,broken clouds
61,0.025,0.0,0.329,Very High,2021-10-01 13:00:00,22.24,22.03,19.72,23.68,1023,58,2.66,,77,broken clouds
62,0.014,0.0,0.34,High,2021-10-01 14:00:00,23.28,23.23,19.72,25.34,1022,60,2.66,,97,overcast clouds
63,0.02,0.0,0.373,High,2021-10-01 15:00:00,23.77,23.82,19.72,24.04,1022,62,3.46,,100,overcast clouds
64,0.052,0.0,0.376,Medium,2021-10-01 16:00:00,23.19,23.42,18.72,23.48,1022,71,3.44,,100,overcast clouds
65,0.189,0.0,0.267,Low,2021-10-01 17:00:00,21.63,21.86,18.72,22.01,1021,77,3.05,,100,overcast clouds
66,0.714,0.0,0.034,None,2021-10-01 18:00:00,20.52,20.72,17.72,20.7,1022,80,2.5,,100,overcast clouds
67,0.422,0.0,0.0,None,2021-10-01 19:00:00,19.49,19.74,17.72,19.79,1022,86,1.45,,100,overcast clouds
68,0.374,0.0,0.0,None,2021-10-01 20:00:00,18.97,19.22,17.72,19.79,1022,88,0.85,,100,overcast clouds
69,0.255,0.0,0.0,None,2021-10-01 21:00:00,18.94,19.21,17.72,19.23,1022,89,0.97,,100,overcast clouds
70,0.324,0.0,0.0,None,2021-10-01 22:00:00,18.43,18.68,17.72,19.23,1021,90,1.58,,100,overcast clouds
71,0.331,0.0,0.0,None,2021-10-01 23:00:00,18.41,18.68,17.23,18.68,1020,91,1.11,,100,overcast clouds
72,0.328,0.0,0.0,None,2021-10-02 00:00:00,18.42,18.72,17.23,18.48,1020,92,1.55,,100,overcast clouds
73,0.526,0.0,0.0,None,2021-10-02 01:00:00,18.42,18.72,17.23,18.48,1020,92,1.92,,100,overcast clouds
74,0.328,0.0,0.0,None,2021-10-02 02:00:00,18.42,18.75,17.23,18.48,1019,93,2.33,,100,overcast clouds
75,0.262,0.0,0.0,None,2021-10-02 03:00:00,17.9,18.17,17.23,18.12,1018,93,2.32,,100,overcast clouds
76,0.256,0.0,0.0,None,2021-10-02 04:00:00,17.87,18.14,16.72,18.12,1018,93,2.32,,100,overcast clouds
77,0.256,0.0,0.0,None,2021-10-02 05:00:00,17.59,17.83,16.68,18.12,1017,93,2.95,,100,overcast clouds
78,0.287,0.0,0.0,None,2021-10-02 06:00:00,17.33,17.55,16.68,17.57,1017,93,3.2,,100,overcast clouds
79,0.377,0.0,0.0,None,2021-10-02 07:00:00,17.31,17.52,16.12,17.57,1017,93,3.55,,100,overcast clouds
80,0.215,0.0,0.064,None,2021-10-02 08:00:00,17.36,17.58,16.12,18.12,1017,93,3.78,,100,overcast clouds
81,0.087,0.0,0.167,Low,2021-10-02 09:00:00,18.44,18.77,17.23,18.72,1017,93,3.57,,100,overcast clouds
